79,"Kraum, Ludevic''s Opus",Tymna the Weaver,18,By Joshua Kline,1st(5 - 1 - 2)  62%
80,"Rakdos, the Muscle",N/A,7,By Dewn Rivera,TOP4
81,"Magda, Brazen Outlaw",N/A,18,By Brandon Austin,Top16(2 - 3 - 2)  28%
82,"Temmet, Naktamun''s Will",N/A,3,by antonio parra rubio,Top32
83,The Sixth Doctor,N/A,9,By Christian Jensen,Top16(1 - 2 - 1)  25%
84,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",1,By Nik Aiman,Top16(0 - 2 - 2)  0%
85,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",10,by francisco heredia,Top32(1 - 4)  20%
86,"Roxanne, Starfall Savant",N/A,20,by bryton holliday,Top32(0 - 2 - 2)  0%
87,"Tayam, Luminous Enigma",N/A,15,by mirko,Top32(0 - 2 - 2)  0%
88,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,13,By Richie Baker,Top16(1 - 2)  33%
89,"Raffine, Scheming Seer",N/A,4,by charles sonido,Top32(0 - 3)  0%
90,"Esika, God of the Tree",N/A,14,By Roberto Raffo,Top16(0 - 3)  0%
91,"Plagon, Lord of the Beach",N/A,16,by ian ignotov,Top32(1 - 3 - 1)  20%
92,"Sisay, Weatherlight Captain",N/A,5,By Jonathan Starkey,2nd(2 - 1 - 1)  50%
93,Zur the Enchanter,N/A,16,by logan obrian,Top32(1 - 3 - 1)  20%
94,"Breena, the Demagogue",N/A,3,By Óscar Estellés Vilchez,TOP16
95,"Alexios, Deimos of Kosmos",N/A,3,by nacho villalonga,Top32
96,"Kraum, Ludevic''s Opus",Tymna the Weaver,1,By Tan Su Teck,Top16(0 - 3 - 1)  0%
97,Teysa Karlov,N/A,3,by kevin yucra martínez,Top32
98,"Plagon, Lord of the Beach",N/A,5,By Jacob Ian Rodriguez,Top16(0 - 1 - 1)  0%
99,"Animar, Soul of Elements",N/A,3,By Gabriel,TOP16
100,"Hashaton, Scarab''s Fist",N/A,16,by sam valley,Top32(1 - 3 - 1)  20%
101,"Thrasios, Triton Hero",Tymna the Weaver,13,By Aadil Rahaman,Top16(0 - 2 - 1)  0%
102,"Tayam, Luminous Enigma",N/A,18,by cynthia moreno,Top32(1 - 2 - 3)  16%
103,"Kraum, Ludevic''s Opus",Tymna the Weaver,11,By Austin Lindeman,Top8(2 - 3)  40%
104,"Magda, Brazen Outlaw",N/A,4,By Leighton Villanueva,Top16(0 - 4)  0%
105,"Thrasios, Triton Hero",Tymna the Weaver,13,By Emma Cagle,Top32(0 - 3)  0%
106,"Tivit, Seller of Secrets",N/A,19,By Zachary Ritz,2nd(1 - 1 - 2)  25%
107,"Kinnan, Bonder Prodigy",N/A,13,By Charles Borgsmiller,Top4(2 - 2)  50%
108,Anje Falkenrath,N/A,10,by borja zamora mozo,Top64(1 - 4)  20%
109,"Rograkh, Son of Rohgahh","Thrasios, Triton Hero",10,by joan paulo martínez,Top64(0 - 2 - 2)  0%
110,Marneus Calgar,N/A,12,By Sage C Deenik,Top8(1 - 2)  33%
111,"Sisay, Weatherlight Captain",N/A,16,By Wynendine,Top8(2 - 3 - 1)  33%
112,"Thrasios, Triton Hero",Tymna the Weaver,15,By Samuel Jones,Top16(1 - 2 - 1)  25%
113,"Tivit, Seller of Secrets",N/A,10,by aron gonzalez garcia,Top64(0 - 2 - 3)  0%
114,"Yuriko, the Tiger''s Shadow",N/A,10,by eric romeo,Top64(0 - 3)  0%
115,"Ixhel, Scion of Atraxa",N/A,3,by yago garcia mendez,Top32
116,"Kinnan, Bonder Prodigy",N/A,16,by woodrow ohler,Top64(0 - 4 - 1)  0%
117,"Silas Renn, Seeker Adept","Yoshimaru, Ever Faithful",8,By John Forrest Go,Top8(0 - 2 - 1)  0%
118,"Kykar, Wind''s Fury",N/A,1,By Hazim,Top16(0 - 2 - 2)  0%
119,"Malcolm, Keen-Eyed Navigator",Tymna the Weaver,18,By Joe Scala,Top16(2 - 2 - 3)  28%
120,"Francisco, Fowl Marauder","Thrasios, Triton Hero",9,by angel saavedra,Top32(0 - 3 - 1)  0%
121,The Pride of Hull Clade,N/A,5,By Zachary Morton,Top8(0 - 1 - 1)  0%
122,"Kinnan, Bonder Prodigy",N/A,11,By Patrick Tetrick,Top8(1 - 2 - 2)  20%
123,"Sisay, Weatherlight Captain",N/A,15,by katrina jackson-black,Top32(0 - 3 - 1)  0%
124,"Magda, Brazen Outlaw",N/A,18,by christopher lavalley,Top64(0 - 3 - 3)  0%
125,"Kraum, Ludevic''s Opus",Tymna the Weaver,18,By Ian Henson,Top4(3 - 3 - 2)  37%
126,"Heliod, Sun-Crowned",N/A,20,By Rodney Bennett,Top4(2 - 2 - 2)  33%
127,"Korvold, Fae-Cursed King",N/A,19,By Christopher Knighton,Top16(0 - 2 - 1)  0%
128,"Zimone, Mystery Unraveler",N/A,3,by borja garcia sanchez,Top32
129,"Kraum, Ludevic''s Opus",Tymna the Weaver,10,By Martin Feinsilber,Top16(1 - 1 - 4)  16%
130,"Thrasios, Triton Hero",Tymna the Weaver,9,by nabeel ahmad,Top32(0 - 2 - 2)  0%
131,"Kamahl, Heart of Krosa",Kodama of the East Tree,11,By Jeremy Roberts,Top16(0 - 2 - 1)  0%
132,"Thrasios, Triton Hero",Tymna the Weaver,17,By Daniel Valdes Urzua,Top16(0 - 2 - 2)  0%
133,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",9,By Cam,2nd(2 - 2 - 1)  40%
134,"Kinnan, Bonder Prodigy",N/A,18,by steven tanner,Top32(2 - 3 - 1)  33%
135,"Atraxa, Grand Unifier",N/A,18,by sean conley,Top128(0 - 4)  0%
136,"Breya, Etherium Shaper",N/A,4,by jason scott,Top16(0 - 4)  0%
137,"Thrasios, Triton Hero",Tymna the Weaver,15,by federico zubani,Top32(0 - 3 - 1)  0%
138,Hazel of the Rootbloom,N/A,3,By Ronny,2ND
139,"Talion, the Kindly Lord",N/A,16,by daniel caskey,Top64(0 - 3 - 2)  0%
140,"Tivit, Seller of Secrets",N/A,10,by yon lópez,Top32(1 - 3 - 1)  20%
141,"Kinnan, Bonder Prodigy",N/A,5,By Stephanie Rooney,Top8(0 - 1 - 1)  0%
142,"Yuriko, the Tiger''s Shadow",N/A,18,by alexander frederick,Top32(1 - 3 - 1)  20%
143,"K''rrik, Son of Yawgmoth",N/A,9,by jacob harvey,Top32(0 - 3)  0%
144,"Thrasios, Triton Hero",Tymna the Weaver,20,By Christopher Koenigsfeld,Top8(1 - 2 - 2)  20%
145,"Magda, Brazen Outlaw",N/A,11,By Devon Darlington,1st(3 - 1 - 1)  60%
146,"Urza, Lord High Artificer",N/A,9,by brandon downs,Top32(0 - 3 - 1)  0%
147,"Urza, Lord High Artificer",N/A,18,by benjamin anderson,Top64(0 - 4 - 1)  0%
148,"Breya, Etherium Shaper",N/A,16,By Brandon Bordeaux,Top8(2 - 3 - 1)  33%
149,"Selvala, Heart of the Wilds",N/A,11,By Trevor Roes,Top16(0 - 3)  0%
150,"Etali, Primal Conqueror",N/A,9,by dacoda hoskins,Top32(0 - 3)  0%
151,Kodama of the East Tree,Sakashima of a Thousand Faces,18,By Drew Lipson,Top16(2 - 3 - 2)  28%
152,"Hashaton, Scarab''s Fist",N/A,11,By Zack Barker,2nd(3 - 2)  60%
153,"Yawgmoth, Thran Physician",N/A,9,by dalton meadows,Top32(0 - 3 - 1)  0%
154,"Rowan, Scion of War",N/A,12,By Korey Kozlowski,Top16(0 - 2 - 1)  0%
155,"Kraum, Ludevic''s Opus",Tymna the Weaver,9,By Kieron Traynor Jr,Top16(1 - 2 - 2)  20%
156,"Magda, Brazen Outlaw",N/A,20,By Bdn (Nick),1st(3 - 0 - 2)  100%
157,Thalia and The Gitrog Monster,N/A,16,By Devin Tyler,Top16(1 - 2 - 2)  20%
158,"Glarb, Calamity''s Augur",N/A,16,by evan g,Top64(0 - 4 - 1)  0%
159,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",20,by zachary jilani,Top32(0 - 2 - 2)  0%
160,"Jeska, Thrice Reborn","Thrasios, Triton Hero",9,By Sylvie Vulpin,Top16(1 - 2 - 1)  25%
161,"Krark, the Thumbless","Silas Renn, Seeker Adept",16,By Jayson Winthrop,Top16(1 - 2 - 2)  20%
162,"Kenrith, the Returned King",N/A,7,By Mika Lopez,TOP4
163,"Teferi, Temporal Archmage",N/A,2,By Leopoldo Ojeda,Top8(0 - 1)  0%
164,"Sisay, Weatherlight Captain",N/A,1,By Darren Wong,Top16(0 - 1 - 3)  0%
165,"Kinnan, Bonder Prodigy",N/A,18,by brandon jimenez,Top64(0 - 2 - 4)  0%
166,"Thrasios, Triton Hero",Tymna the Weaver,12,By Tanner Erickson,2nd(2 - 2)  50%
167,"Tivit, Seller of Secrets",N/A,15,By Tim Calvert,Top16(1 - 2 - 1)  25%
168,"Atraxa, Grand Unifier",N/A,19,By Thomas Traverse,1st(2 - 1 - 1)  50%
169,"Hashaton, Scarab''s Fist",N/A,6,By Sterling Sellards,Top4(2 - 2 - 1)  40%
170,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,20,by alexander gardenhire,Top32(0 - 2)  0%
171,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",15,By Elijah Daniels,Top8(1 - 1 - 3)  20%
172,"Esika, God of the Tree",N/A,18,by phillip cartagena,Top32(1 - 3 - 2)  16%
173,"Kediss, Emberclaw Familiar","Malcolm, Keen-Eyed Navigator",15,by sylwester twardowski,Top32(0 - 2 - 2)  0%
174,"Inalla, Archmage Ritualist",N/A,2,By Taka,Top16(0 - 1)  0%
175,Hazel of the Rootbloom,N/A,3,By Carolina Papes,TOP16
176,"Kraum, Ludevic''s Opus",Tymna the Weaver,15,By Daniel Francis,2nd(2 - 2 - 1)  40%
177,"Sisay, Weatherlight Captain",N/A,9,by brian kerns,Top32(0 - 2 - 1)  0%
178,"Kraum, Ludevic''s Opus",Tymna the Weaver,14,By Jacob Rhyne,Top8(0 - 3)  0%
179,Shroofus Sproutsire,N/A,14,By Noah Scott,Top8(1 - 2)  33%
180,"Thrasios, Triton Hero",Tymna the Weaver,18,by landon williams,Top32(2 - 3 - 1)  33%
181,Elsha of the Infinite,N/A,10,By Alex Tenza Bañón,Top16(1 - 1 - 3)  20%
182,Oswald Fiddlebender,N/A,20,By Andrew D Myers,Top16(1 - 2 - 1)  25%
183,"Kinnan, Bonder Prodigy",N/A,14,By Corey Lankford,Top16(0 - 3)  0%
184,"Thrasios, Triton Hero",Tymna the Weaver,6,by logan williams,Top32(0 - 3 - 1)  0%
185,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,16,by jacob saks,Top32(0 - 3 - 2)  0%
186,"Kinnan, Bonder Prodigy",N/A,10,By Rubén Ferrer Torres,Top16(2 - 3 - 1)  33%
187,"Thrasios, Triton Hero",Tymna the Weaver,9,by jack francis,Top32(0 - 1 - 3)  0%
188,"Magda, Brazen Outlaw",N/A,14,By Cameron Miller,1st(3 - 1)  75%
189,"Najeela, the Blade-Blossom",N/A,20,By Julio Berber,Top16(1 - 3 - 1)  20%
190,"Thrasios, Triton Hero",Tymna the Weaver,9,by ryan baab,Top32(0 - 1 - 3)  0%
191,"Hashaton, Scarab''s Fist",N/A,13,By David Wilson,Top16(0 - 1 - 2)  0%
192,"Kinnan, Bonder Prodigy",N/A,11,By Michael Peine,Top16(1 - 3 - 1)  20%
193,"Kraum, Ludevic''s Opus",Tymna the Weaver,20,by luke d’imperio,Top32(0 - 1 - 3)  0%
194,"Kraum, Ludevic''s Opus",Tymna the Weaver,17,by benjamín robledo quinzacara,Top16(0 - 2 - 2)  0%
195,"Tameshi, Reality Architect",N/A,10,By Daniel Muñoz (Spluaks),Top8(2 - 2 - 2)  33%
196,"Narset, Enlightened Master",N/A,4,By Kristofer Vaughn,Top8(1 - 4)  20%
197,"Coram, the Undertaker",N/A,19,By Niall Kelly,Top16(0 - 2 - 1)  0%
198,"Thrasios, Triton Hero",Tymna the Weaver,6,by florian seyfert,Top32(0 - 3 - 1)  0%
199,"Thrasios, Triton Hero",Tymna the Weaver,10,by damian lapuente,Top64(0 - 2 - 2)  0%
200,"Rev, Tithe Extractor",N/A,17,By Rodrigo Garrido,Top16(0 - 2 - 2)  0%
201,"Thrasios, Triton Hero",Tymna the Weaver,20,By Michael Telles,Top16(1 - 3)  25%
202,"Krark, the Thumbless",Sakashima of a Thousand Faces,12,By Koorosh/Cyrus Rassekh,1st(2 - 1 - 1)  50%
203,"Kinnan, Bonder Prodigy",N/A,12,By Koorosh Rassekh,Top4(1 - 2 - 1)  25%
204,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",4,By Jack Aris,Top8(1 - 4)  20%
205,"Thrasios, Triton Hero",Tymna the Weaver,18,By Peyton Mantell,Top16(2 - 3 - 2)  28%
